strategy,strategy_label,symbol,contribution_interval,start,end,contributed_usd,invested_usd,ending_cash_usd,ending_value_usd,return_pct,deployment_pct,max_drawdown_pct,trade_count
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,104300.00,126900.00,321783.96,39.18,45.11,59.38,1043
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,229450.00,1750.00,487826.21,111.00,99.24,78.00,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,132100.00,99100.00,373878.00,61.71,57.14,72.66,1321
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,89200.00,142000.00,263443.60,13.95,38.58,35.69,892
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,230550.00,650.00,468565.93,102.67,99.72,76.35,2312
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,123200.00,108000.00,296186.36,28.11,53.29,67.09,1232
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,88100.00,143100.00,244279.96,5.66,38.11,31.61,881
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,231200.00,0.00,500191.98,116.35,100.00,76.63,2312
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",ETH-USD,1d,2020-01-01,2026-04-30,231200.00,231150.00,50.00,516080.60,123.22,99.98,78.27,2312
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),ETH-USD,2d,2020-01-01,2026-04-29,115600.00,115600.00,0.00,263416.29,127.87,100.00,76.37,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,59400.00,56200.00,196942.48,70.37,51.38,69.52,594
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,55200.00,60400.00,167612.17,44.99,47.75,61.14,552
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=20,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,115250.00,350.00,255625.99,121.13,99.70,76.28,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,60500.00,55100.00,188650.78,63.19,52.34,69.21,605
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,52600.00,63000.00,160636.59,38.96,45.50,57.37,526
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,114750.00,850.00,244613.54,111.60,99.26,76.06,1156
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,65300.00,50300.00,186138.56,61.02,56.49,70.46,653
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,45300.00,70300.00,131781.71,14.00,39.19,35.23,453
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",ETH-USD,2d,2020-01-01,2026-04-29,115600.00,115300.00,300.00,234506.61,102.86,99.74,74.46,1156
